# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.48
2                       7.47
4                       7.48
8                       7.79
16                      7.79
32                      7.78
64                      7.88
128                     7.89
256                     7.91
512                     7.94
1024                    8.03
2048                    8.31
4096                    8.80
8192                    9.58
16384                  10.20
32768                  11.40
65536                  14.08
131072                 34.04
262144                 44.17
524288                 80.50
1048576                77.78
2097152               156.05
4194304               239.41
