
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     101.78
8                     101.57
16                    102.66
32                    102.05
64                    101.87
128                   104.73
256                   104.42
512                   106.57
1024                  109.02
2048                   97.99
4096                  158.30
8192                  191.94
16384                 187.92
32768                 204.49
65536                 219.74
131072                282.07
262144                405.35
524288                550.18
1048576               896.32
