# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.49
4                       7.49
8                       7.80
16                      7.81
32                      7.81
64                      7.92
128                     7.94
256                     7.95
512                     7.99
1024                    8.08
2048                    8.36
4096                    8.79
8192                    9.59
16384                  10.22
32768                  11.46
65536                  13.99
131072                 34.02
262144                 44.06
524288                 80.62
1048576                77.90
2097152               156.17
4194304               238.33
