
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.36
8                      89.14
16                     90.48
32                     88.51
64                     89.60
128                    90.15
256                    91.91
512                    92.87
1024                   94.51
2048                   97.83
4096                  139.98
8192                  136.31
16384                 145.25
32768                 164.43
65536                 172.51
131072                229.96
262144                315.82
524288                596.41
1048576               910.31
