# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.49
1                       7.51
2                       7.49
4                       7.49
8                       7.80
16                      7.80
32                      7.80
64                      7.92
128                     7.94
256                     7.95
512                     7.98
1024                    8.09
2048                    8.33
4096                    8.76
8192                    9.59
16384                  10.18
32768                  11.43
65536                  14.07
131072                 34.01
262144                 44.06
524288                 80.78
1048576                77.93
2097152               156.59
4194304               239.88
