# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.58
4                       7.30
8                      14.45
16                     28.99
32                     58.53
64                    106.77
128                   212.47
256                   420.31
512                   822.26
1024                 1534.91
2048                 2574.48
4096                 4300.22
8192                 7165.14
16384                8416.96
32768               10059.01
65536               10844.76
131072              13439.45
262144              13708.77
524288              13860.75
1048576             23692.34
2097152             24001.57
4194304             24210.71
