
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      91.33
8                      89.05
16                     91.43
32                     89.28
64                     89.20
128                    89.76
256                    91.78
512                    93.57
1024                   97.68
2048                   97.76
4096                  141.57
8192                  136.25
16384                 157.06
32768                 165.62
65536                 171.28
131072                231.83
262144                315.44
524288                498.75
1048576               875.31
