# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.69
2                       3.57
4                       7.29
8                      14.58
16                     29.19
32                     58.15
64                    106.06
128                   211.76
256                   421.52
512                   821.38
1024                 1530.89
2048                 2576.51
4096                 4337.92
8192                 7133.82
16384                8409.07
32768               10000.89
65536               11351.70
131072              13467.79
262144              13734.29
524288              13846.37
1048576             23615.70
2097152             24000.13
4194304             24202.49
