
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     101.30
8                     101.58
16                    101.18
32                    102.37
64                    103.88
128                   104.40
256                   104.71
512                   106.16
1024                  108.80
2048                  100.78
4096                  156.14
8192                  188.04
16384                 188.96
32768                 203.70
65536                 224.60
131072                280.88
262144                388.80
524288                543.23
1048576               873.90
