# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.49
4                       7.49
8                       7.80
16                      7.79
32                      7.80
64                      7.91
128                     7.93
256                     7.95
512                     7.98
1024                    8.08
2048                    8.35
4096                    8.75
8192                    9.60
16384                  10.23
32768                  11.43
65536                  14.03
131072                 33.92
262144                 44.14
524288                 80.86
1048576                77.89
2097152               156.64
4194304               237.91
