
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.22
8                      32.20
16                     32.34
32                     32.36
64                     32.30
128                    32.85
256                    33.72
512                    34.13
1024                   35.28
2048                   37.30
4096                   62.42
8192                  107.63
16384                 109.36
32768                 147.95
65536                 230.35
131072                450.06
262144                250.23
524288                406.36
1048576               706.04
