
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.04
8                      32.45
16                     32.40
32                     32.81
64                     32.26
128                    32.85
256                    33.55
512                    33.81
1024                   35.15
2048                   37.54
4096                   62.79
8192                   87.18
16384                 108.80
32768                 149.74
65536                 230.28
131072                451.47
262144                251.56
524288                405.60
1048576               705.30
