
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.97
8                      90.37
16                     90.56
32                     89.48
64                     89.31
128                    89.65
256                    91.62
512                    92.86
1024                   94.98
2048                  103.64
4096                  134.82
8192                  135.35
16384                 159.35
32768                 167.13
65536                 203.68
131072                243.16
262144                338.04
524288                498.23
1048576               833.25
