
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      84.58
8                      83.70
16                     83.81
32                     84.23
64                     84.55
128                    84.65
256                    86.75
512                    87.10
1024                   88.67
2048                   93.54
4096                  103.22
8192                  130.94
16384                 150.71
32768                 208.91
65536                 254.44
131072                607.55
262144                303.04
524288                487.67
1048576               778.50
