
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      95.06
8                      84.24
16                     84.10
32                     83.91
64                     84.46
128                    84.35
256                    86.41
512                    87.09
1024                   96.50
2048                   94.08
4096                  109.42
8192                  131.14
16384                 151.40
32768                 210.61
65536                 255.88
131072                630.70
262144                303.00
524288                469.28
1048576               776.08
