# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.57
4                       7.30
8                      14.56
16                     29.26
32                     58.33
64                    107.06
128                   211.99
256                   419.44
512                   819.87
1024                 1530.15
2048                 2562.93
4096                 4314.37
8192                 7258.31
16384                8639.87
32768                9913.93
65536               10838.17
131072              13489.25
262144              13711.61
524288              13826.76
1048576             23719.51
2097152             23996.66
4194304             24200.22
