# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.59
4                       7.29
8                      14.61
16                     29.17
32                     58.60
64                    106.38
128                   210.55
256                   419.13
512                   819.94
1024                 1524.75
2048                 2568.58
4096                 4335.10
8192                 7183.38
16384                8798.50
32768               10385.78
65536               11521.28
131072              13435.59
262144              13690.66
524288              13811.93
1048576             23708.48
2097152             23964.60
4194304             24205.00
