
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     102.63
8                     107.93
16                    104.10
32                    103.26
64                    104.42
128                   105.39
256                   106.04
512                   105.09
1024                  108.18
2048                   99.26
4096                  158.62
8192                  194.23
16384                 192.15
32768                 204.20
65536                 221.57
131072                275.53
262144                360.77
524288                537.42
1048576               887.70
