
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.88
8                     102.18
16                    102.59
32                    100.85
64                    101.37
128                   103.38
256                   104.98
512                   105.88
1024                  110.10
2048                   95.70
4096                  154.36
8192                  193.82
16384                 187.03
32768                 210.41
65536                 243.35
131072                297.50
262144                371.67
524288                540.59
1048576               908.40
