# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.57
4                       7.28
8                      14.63
16                     29.21
32                     58.52
64                    106.24
128                   212.21
256                   418.80
512                   824.72
1024                 1532.82
2048                 2563.34
4096                 4276.73
8192                 7128.93
16384                8652.25
32768               10140.58
65536               11216.97
131072              13406.94
262144              13748.10
524288              13858.12
1048576             23640.01
2097152             23989.54
4194304             24209.89
