
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.27
8                      21.00
16                     20.63
32                     20.61
64                     20.59
128                    41.51
256                    42.44
512                    43.66
1024                   43.72
2048                   45.68
4096                   45.37
8192                   47.03
16384                  54.55
32768                  66.81
65536                  83.08
131072                133.94
262144                201.11
524288                368.27
1048576               653.16
