
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.79
8                      22.24
16                     20.51
32                     21.47
64                     20.75
128                    43.71
256                    46.06
512                    45.82
1024                   46.78
2048                   47.90
4096                   47.70
8192                   50.90
16384                  58.27
32768                  68.75
65536                  86.49
131072                145.35
262144                207.86
524288                369.25
1048576               677.14
