
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.87
8                      21.11
16                     20.79
32                     20.74
64                     21.70
128                    45.93
256                    43.75
512                    45.19
1024                   48.11
2048                   46.40
4096                   47.96
8192                   49.77
16384                  68.38
32768                  74.48
65536                  90.76
131072                139.75
262144                210.38
524288                370.64
1048576               684.06
