
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.47
8                      20.39
16                     21.11
32                     20.92
64                     20.42
128                    42.24
256                    42.63
512                    43.09
1024                   50.99
2048                   48.46
4096                   47.14
8192                   47.29
16384                  54.92
32768                  66.06
65536                  92.43
131072                134.45
262144                197.22
524288                357.75
1048576               662.67
