
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      22.81
8                      20.96
16                     20.66
32                     21.49
64                     30.79
128                    43.38
256                    44.27
512                    44.63
1024                   45.38
2048                   45.88
4096                   54.89
8192                   50.88
16384                  57.75
32768                  68.93
65536                  84.12
131072                138.07
262144                219.97
524288                418.65
1048576               691.34
