
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      27.50
8                      21.68
16                     21.07
32                     21.06
64                     22.24
128                    43.64
256                    45.72
512                    45.12
1024                   47.00
2048                   47.21
4096                   51.26
8192                   57.04
16384                  57.66
32768                  70.84
65536                  89.05
131072                144.00
262144                207.52
524288                375.89
1048576               694.20
