
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.54
8                      20.38
16                     20.35
32                     20.53
64                     20.47
128                    41.93
256                    46.39
512                    44.77
1024                   44.20
2048                   44.62
4096                   47.39
8192                   47.16
16384                  54.84
32768                  66.81
65536                  84.56
131072                137.19
262144                200.81
524288                351.08
1048576               677.87
