
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.83
8                      21.00
16                     20.48
32                     21.27
64                     20.54
128                    41.19
256                    42.08
512                    42.73
1024                   43.59
2048                   44.12
4096                   51.39
8192                   46.92
16384                  55.83
32768                  66.35
65536                  82.23
131072                135.27
262144                203.86
524288                350.43
1048576               660.63
