
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.66
8                      25.90
16                     20.23
32                     20.48
64                     20.53
128                    41.59
256                    42.18
512                    42.79
1024                   44.71
2048                   45.04
4096                   45.31
8192                   47.47
16384                  54.57
32768                  66.64
65536                  82.38
131072                135.46
262144                200.46
524288                356.22
1048576               722.42
