
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      22.67
8                      21.57
16                     20.68
32                     21.88
64                     21.00
128                    43.41
256                    43.33
512                    46.81
1024                   48.38
2048                   46.85
4096                   49.34
8192                   51.41
16384                  58.13
32768                  69.56
65536                  83.68
131072                141.06
262144                202.50
524288                360.50
1048576               682.33
