
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.95
8                      20.25
16                     20.17
32                     21.23
64                     20.59
128                    41.25
256                    42.08
512                    43.22
1024                   44.26
2048                   44.98
4096                   46.14
8192                   47.63
16384                  55.50
32768                  72.92
65536                  82.65
131072                135.16
262144                200.86
524288                357.05
1048576               670.46
