
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.45
8                      21.07
16                     22.06
32                     21.15
64                     22.37
128                    43.10
256                    44.36
512                    43.86
1024                   45.53
2048                   48.12
4096                   47.72
8192                   50.36
16384                  56.24
32768                  69.87
65536                  83.09
131072                143.10
262144                208.55
524288                358.33
1048576               667.43
