
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.34
8                      20.35
16                     21.74
32                     20.39
64                     21.61
128                    42.87
256                    44.39
512                    46.14
1024                   45.61
2048                   46.14
4096                   46.97
8192                   49.08
16384                  56.90
32768                  69.07
65536                  88.09
131072                136.28
262144                233.60
524288                418.99
1048576               668.26
