
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.70
8                      20.59
16                     21.79
32                     20.55
64                     20.90
128                    42.09
256                    44.01
512                    45.18
1024                   44.79
2048                   46.84
4096                   48.42
8192                   49.26
16384                  55.71
32768                  68.98
65536                  95.81
131072                140.36
262144                199.86
524288                360.07
1048576               836.89
