
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.46
8                      20.38
16                     20.43
32                     20.29
64                     20.67
128                    46.27
256                    41.93
512                    42.53
1024                   44.65
2048                   45.72
4096                   45.45
8192                   47.61
16384                  56.20
32768                  67.47
65536                  85.33
131072                134.07
262144                207.58
524288                358.64
1048576               675.44
