
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.90
8                      21.05
16                     21.40
32                     20.53
64                     20.60
128                    43.04
256                    42.08
512                    43.37
1024                   43.98
2048                   44.96
4096                   45.88
8192                   48.10
16384                  57.25
32768                  77.31
65536                  86.09
131072                149.10
262144                201.45
524288                368.00
1048576               668.03
