
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      23.87
8                      20.63
16                     21.34
32                     20.71
64                     21.24
128                    43.44
256                    46.14
512                    52.12
1024                   48.05
2048                   45.89
4096                   46.76
8192                   48.89
16384                  56.79
32768                  85.64
65536                  89.82
131072                149.33
262144                211.74
524288                371.11
1048576               724.43
