
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      22.17
8                      20.85
16                     21.09
32                     22.43
64                     23.51
128                    44.03
256                    44.28
512                    45.37
1024                   46.91
2048                   49.16
4096                   47.62
8192                   49.49
16384                  61.69
32768                  70.11
65536                  85.59
131072                151.83
262144                217.39
524288                381.51
1048576               684.44
