
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      21.06
8                      20.84
16                     20.47
32                     20.51
64                     21.92
128                    41.21
256                    43.39
512                    42.62
1024                   43.66
2048                   45.37
4096                   45.75
8192                   47.44
16384                  54.62
32768                  66.65
65536                  86.14
131072                143.97
262144                200.50
524288                358.11
1048576               672.40
