# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.48
2                       7.48
4                       7.48
8                       7.78
16                      7.78
32                      7.78
64                      7.90
128                     7.90
256                     7.93
512                     7.97
1024                    8.06
2048                    8.34
4096                    8.77
8192                    9.56
16384                  10.19
32768                  11.37
65536                  14.00
131072                 33.95
262144                 44.09
524288                 80.79
1048576                77.78
2097152               156.57
4194304               239.56
