
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     103.75
8                     101.98
16                    101.82
32                    102.40
64                    103.26
128                   105.04
256                   104.37
512                   105.52
1024                  109.55
2048                   96.31
4096                  153.09
8192                  187.11
16384                 189.27
32768                 199.35
65536                 217.81
131072                274.98
262144                359.43
524288                531.59
1048576               877.59
