# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.74
2                       3.64
4                       7.34
8                      14.64
16                     29.51
32                     59.08
64                    108.93
128                   216.12
256                   427.57
512                   837.64
1024                 1552.93
2048                 2612.96
4096                 4345.86
8192                 7245.72
16384                8677.41
32768               10113.53
65536               11439.15
131072              13602.87
262144              13823.26
524288              13945.19
1048576             23679.31
2097152             23992.65
4194304             24211.33
