# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.48
2                       7.47
4                       7.47
8                       7.77
16                      7.76
32                      7.76
64                      7.88
128                     7.89
256                     7.90
512                     7.95
1024                    8.04
2048                    8.32
4096                    8.73
8192                    9.55
16384                  10.15
32768                  11.40
65536                  13.95
131072                 33.84
262144                 43.89
524288                 80.49
1048576                77.89
2097152               156.91
4194304               239.43
