
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.38
8                      89.20
16                     89.36
32                     88.96
64                    104.00
128                    90.01
256                    91.74
512                    93.28
1024                   95.46
2048                   97.76
4096                  133.75
8192                  135.77
16384                 144.83
32768                 153.12
65536                 171.83
131072                226.99
262144                315.25
524288                495.76
1048576               836.65
