# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.46
2                       7.45
4                       7.45
8                       7.74
16                      7.75
32                      7.73
64                      7.86
128                     7.87
256                     7.89
512                     7.93
1024                    8.03
2048                    8.33
4096                    8.80
8192                    9.51
16384                  10.16
32768                  11.40
65536                  14.07
131072                 34.00
262144                 44.08
524288                 80.44
1048576                77.83
2097152               155.91
4194304               241.28
