
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      84.79
8                      85.50
16                     85.16
32                     84.95
64                     85.80
128                    86.08
256                    87.92
512                    89.11
1024                   90.49
2048                   93.55
4096                  106.13
8192                  135.96
16384                 157.52
32768                 212.48
65536                 260.80
131072                613.48
262144                293.11
524288                464.67
1048576               776.74
