
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.21
8                      32.43
16                     32.43
32                     32.09
64                     32.51
128                    32.86
256                    33.41
512                    33.92
1024                   34.99
2048                   37.08
4096                   62.39
8192                   86.99
16384                 109.15
32768                 148.79
65536                 230.12
131072                448.10
262144                249.11
524288                397.89
1048576               704.37
