# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.50
2                       7.49
4                       7.49
8                       7.79
16                      7.79
32                      7.79
64                      7.90
128                     7.92
256                     7.93
512                     7.97
1024                    8.07
2048                    8.33
4096                    8.77
8192                    9.59
16384                  10.19
32768                  11.39
65536                  14.07
131072                 34.00
262144                 44.11
524288                 80.92
1048576                77.87
2097152               156.60
4194304               237.25
