# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.59
4                       7.38
8                      14.52
16                     29.42
32                     58.65
64                    108.46
128                   215.99
256                   427.20
512                   835.78
1024                 1541.85
2048                 2601.47
4096                 4343.51
8192                 7256.83
16384                8723.90
32768               10489.20
65536               11574.71
131072              13646.51
262144              13853.69
524288              13963.96
1048576             23722.98
2097152             23961.27
4194304             24202.34
