# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.63
2                       3.63
4                       7.25
8                      14.72
16                     29.61
32                     59.13
64                    107.87
128                   215.27
256                   426.77
512                   832.25
1024                 1529.37
2048                 2588.64
4096                 4301.37
8192                 7239.00
16384                8756.02
32768               10536.90
65536               11339.01
131072              13557.94
262144              13829.06
524288              13922.40
1048576             23707.18
2097152             24012.67
4194304             24199.66
