
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     100.60
8                     101.29
16                    102.84
32                    101.23
64                    102.41
128                   102.47
256                   103.91
512                   106.79
1024                  110.30
2048                   94.19
4096                  152.71
8192                  188.17
16384                 187.17
32768                 198.47
65536                 217.39
131072                273.40
262144                357.61
524288                540.25
1048576               881.99
