# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.65
2                       3.62
4                       7.41
8                      14.77
16                     29.66
32                     59.17
64                    108.97
128                   216.14
256                   427.48
512                   837.71
1024                 1531.54
2048                 2589.33
4096                 4336.13
8192                 7245.28
16384                8515.65
32768               10210.81
65536               11356.72
131072              13614.07
262144              13843.83
524288              13951.62
1048576             23704.75
2097152             23970.62
4194304             24203.79
