
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.22
8                      32.70
16                     32.03
32                     32.20
64                     32.13
128                    32.67
256                    33.55
512                    33.81
1024                   34.85
2048                   36.95
4096                   62.40
8192                   87.20
16384                 109.08
32768                 148.91
65536                 231.88
131072                451.40
262144                250.05
524288                401.87
1048576               704.31
