# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.36
1                      10.38
2                      10.38
4                      10.38
8                      10.68
16                     10.69
32                     10.70
64                     10.82
128                    10.83
256                    10.85
512                    10.90
1024                   11.02
2048                   11.30
4096                   11.92
8192                   13.09
16384                  13.69
32768                  15.00
65536                  17.54
131072                 43.95
262144                 54.43
524288                 97.16
1048576                87.08
2097152               165.87
4194304               254.62
