
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.22
8                      32.14
16                     32.50
32                     32.24
64                     32.31
128                    33.38
256                    33.53
512                    33.78
1024                   35.10
2048                   36.82
4096                   62.47
8192                   87.21
16384                 109.10
32768                 148.96
65536                 228.65
131072                446.40
262144                248.78
524288                398.78
1048576               709.09
