
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.27
8                      89.00
16                     88.98
32                     88.91
64                     89.28
128                    89.56
256                    92.30
512                    92.97
1024                   94.84
2048                   97.89
4096                  133.28
8192                  136.26
16384                 142.26
32768                 152.74
65536                 171.45
131072                226.83
262144                316.03
524288                495.46
1048576               833.35
