
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      32.33
8                      32.31
16                     32.20
32                     32.02
64                     32.17
128                    32.76
256                    33.66
512                    33.87
1024                   35.03
2048                   36.99
4096                   62.70
8192                   87.44
16384                 108.98
32768                 147.86
65536                 228.30
131072                448.73
262144                247.88
524288                409.08
1048576               704.35
