
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      83.26
8                      84.07
16                     84.82
32                     84.44
64                     84.85
128                    84.44
256                    86.51
512                    87.21
1024                   89.05
2048                   92.83
4096                  103.53
8192                  130.86
16384                 151.14
32768                 207.05
65536                 256.66
131072                613.61
262144                291.96
524288                468.10
1048576               775.41
