
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.66
8                      88.91
16                     88.60
32                     88.50
64                     89.40
128                    89.73
256                    92.02
512                    93.22
1024                   94.53
2048                   97.98
4096                  133.92
8192                  136.96
16384                 141.97
32768                 153.90
65536                 171.34
131072                228.60
262144                316.22
524288                498.60
1048576               837.72
