
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      31.99
8                      32.16
16                     32.78
32                     32.12
64                     32.45
128                    33.14
256                    35.43
512                    33.77
1024                   35.02
2048                   37.09
4096                   62.21
8192                   86.71
16384                 108.75
32768                 148.48
65536                 228.80
131072                449.68
262144                249.09
524288                399.60
1048576               705.19
