
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      88.18
8                      89.31
16                     89.17
32                     88.51
64                     89.21
128                    89.56
256                    92.13
512                    94.85
1024                   95.33
2048                   97.84
4096                  133.21
8192                  136.07
16384                 141.71
32768                 152.67
65536                 171.58
131072                226.28
262144                314.26
524288                492.70
1048576               830.40
