# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.47
4                       7.48
8                       7.79
16                      7.80
32                      7.79
64                      7.90
128                     7.92
256                     7.92
512                     7.98
1024                    8.06
2048                    8.34
4096                    8.75
8192                    9.61
16384                  10.17
32768                  11.45
65536                  13.93
131072                 33.94
262144                 44.09
524288                 80.59
1048576                77.72
2097152               156.38
4194304               238.19
