# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.50
2                       7.48
4                       7.49
8                       7.78
16                      7.79
32                      7.78
64                      7.91
128                     7.91
256                     7.92
512                     7.96
1024                    8.06
2048                    8.32
4096                    8.73
8192                    9.58
16384                  10.19
32768                  11.37
65536                  13.96
131072                 33.84
262144                 44.08
524288                 80.66
1048576                77.75
2097152               155.85
4194304               238.91
