# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      12.98
1                      13.03
2                      13.05
4                      13.04
8                      13.32
16                     13.32
32                     13.31
64                     13.45
128                    13.45
256                    13.47
512                    13.54
1024                   13.67
2048                   14.01
4096                   14.96
8192                   16.84
16384                  17.48
32768                  18.70
65536                  21.23
131072                 54.32
262144                 64.52
524288                114.40
1048576                96.16
2097152               170.95
4194304               265.63
